run_id,model,task,image_size,augmentation,pretrained,seed,script_filter,num_classes,n_train,n_test,accuracy,balanced_accuracy,macro_f1,weighted_f1,top5_accuracy,cohen_kappa,val_macro_f1,num_params,epochs_run,train_seconds
resnet18__unified__sz128__aug-medium__pt__s0,resnet18,unified,128,medium,True,0,,889,69552,13911,0.9931708719718209,0.9917228159819607,0.9918558747751701,0.9931434784810221,0.9991373733017037,0.9931529072447199,0.9936050570279633,11632569,40,3762.3913276195526
resnet18__unified__sz128__aug-medium__pt__s1,resnet18,unified,128,medium,True,1,,889,69552,13911,0.9927395586226727,0.9901877425367507,0.9901956569628537,0.9927239717876779,0.9990654877435123,0.9927204528317481,0.9933468512010323,11632569,38,3594.945225954056
resnet18__unified__sz224__aug-medium__pt__s0,resnet18,unified,224,medium,True,0,,889,69552,13911,0.993386528646395,0.9902535252545054,0.9901828203667876,0.9933606687765986,0.9992811444180864,0.9933691422201673,0.9946343037356287,11632569,34,4733.602885723114
resnet18__unified__sz224__aug-medium__pt__s1,resnet18,unified,224,medium,True,1,,889,69552,13911,0.9935302997627776,0.9917813220273158,0.9916921542594077,0.9935073106858389,0.9991373733017037,0.9935132937221419,0.9951849382035478,11632569,34,4787.201912164688
resnet18__unified__sz32__aug-medium__pt__s0,resnet18,unified,32,medium,True,0,,889,69552,13911,0.9651355042771907,0.9388331429254549,0.9389470150250071,0.9647237232875008,0.9959744087412838,0.9650433243333884,0.9432458343464577,11632569,40,1246.830133676529
resnet18__unified__sz32__aug-medium__pt__s1,resnet18,unified,32,medium,True,1,,889,69552,13911,0.9660700165336784,0.9406794344312159,0.941161759920027,0.9656048677642622,0.9962619509740493,0.9659804670857509,0.9439864847405802,11632569,40,1291.6577563285828
resnet18__unified__sz32__aug-medium__pt__s2,resnet18,unified,32,medium,True,2,,889,69552,13911,0.9672201854647401,0.9413587939240086,0.9413714190594428,0.9667966253240363,0.9967651498813889,0.9671337586072831,0.9453583244050464,11632569,40,1319.954890012741
resnet18__unified__sz48__aug-medium__pt__s0,resnet18,unified,48,medium,True,0,,889,69552,13911,0.9844727194306664,0.9720220931156069,0.9719295089943982,0.9843165502490224,0.9977715476960679,0.9844318480675504,0.9715080309818853,11632569,40,1320.5708270072937
resnet18__unified__sz48__aug-medium__pt__s1,resnet18,unified,48,medium,True,1,,889,69552,13911,0.9840414060815182,0.9686486060460634,0.9692147707823988,0.983845601376214,0.9983466321615987,0.9839993888742905,0.9742406850734903,11632569,40,1376.118236541748
resnet18__unified__sz48__aug-medium__pt__s2,resnet18,unified,48,medium,True,2,,889,69552,13911,0.9835382071741787,0.9705332342639957,0.9694578067536863,0.9832303438354966,0.9983466321615987,0.9834949069169803,0.9739935552977972,11632569,40,1399.3855369091034
resnet18__unified__sz64__aug-light__pt__s0,resnet18,unified,64,light,True,0,,889,69552,13911,0.9895765940622528,0.9819231108491764,0.9829326763565464,0.9894365480181049,0.9987060599525556,0.9895491245625372,0.985430737916731,11632569,40,1241.786295890808
resnet18__unified__sz64__aug-medium__pt__s0,resnet18,unified,64,medium,True,0,,889,69552,13911,0.9890015095967221,0.9792768543562343,0.9797650224789913,0.9889063064895768,0.9986341743943642,0.9889725718459987,0.9826664148402388,11632569,40,1418.291648387909
resnet18__unified__sz64__aug-medium__pt__s1,resnet18,unified,64,medium,True,1,,889,69552,13911,0.9832506649414132,0.973547647981046,0.9737914123152542,0.9831324076699907,0.9984185177197901,0.9832065329979928,0.9797333245226201,11632569,26,957.0193288326263
resnet18__unified__sz64__aug-medium__pt__s2,resnet18,unified,64,medium,True,2,,889,69552,13911,0.9888577384803393,0.9820703031963252,0.9820360200546387,0.9887904500767466,0.9987060599525556,0.9888284073513013,0.9828250388343022,11632569,40,1503.193308353424
resnet18__unified__sz64__aug-none__pt__s0,resnet18,unified,64,none,True,0,,889,69552,13911,0.9892171662712961,0.9816692815086756,0.9820970532168537,0.9891021307598857,0.9985622888361728,0.9891887651755393,0.9815091150575487,11632569,40,1209.303994178772
resnet18__unified__sz64__aug-none__scratch__s0,resnet18,unified,64,none,False,0,,889,69552,13911,0.9821723815685429,0.9675321034894538,0.9679813747384874,0.9819848775640899,0.9980590899288333,0.9821253801738973,0.9728065803906297,11632569,40,1186.1619009971619
resnet18__unified__sz96__aug-medium__pt__s0,resnet18,unified,96,medium,True,0,,889,69552,13911,0.990798648551506,0.9856457261317666,0.9860917603689646,0.9907566253926439,0.9991373733017037,0.990774445405267,0.9916258794308168,11632569,40,3113.5461752414703
resnet18__unified__sz96__aug-medium__pt__s1,resnet18,unified,96,medium,True,1,,889,69552,13911,0.9923082452735246,0.9888719833893629,0.9890124516648809,0.9922533284830365,0.9992092588598951,0.9922880105186012,0.9887978866640341,11632569,35,2798.651207447052
resnet18__unified__sz96__aug-medium__pt__s2,resnet18,unified,96,medium,True,2,,889,69552,13911,0.9924520163899073,0.9887889905012942,0.9886831152015023,0.9924046842404506,0.9991373733017037,0.9924321616975692,0.9913470580500279,11632569,40,3266.6773540973663
